cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
77697770,76712263,26063,10978288,62459
77697771,76712264,26394,10978289,62460
77704372,76712265,26398,10978599,62475
77704373,76712266,26399,10978600,62476
77704374,76714113,26400,10978601,62477
77708694,76714114,26444,10978602,62478
77708695,76715033,26564,10978816,62479
77709818,76715034,26590,10978817,62480
77709819,76715526,26618,10978818,62481
77713673,76715527,26699,10978949,62610
77718036,76718656,26760,10978969,62641
77721625,76718657,27051,10978970,62642
77728666,76723647,27052,10978971,62643
77742776,76723648,27053,10979151,62867
77742777,76723649,27054,10979152,62868
77742778,76723650,27055,10979153,63034
77746803,76728807,27056,10979154,63035
77746804,76728808,27365,10979191,63036
77746805,76729487,27437,10979481,63141
77746806,76732553,27572,10979482,63150
77746807,76732554,27582,10979491,63151
77766627,76732555,27583,10979511,63152
77766628,76733981,27613,10979676,63432
77770399,76734169,27617,10979677,64285
77770400,76734170,27618,10980082,64464
77776810,76739609,27619,10980083,64482
77776811,76739610,27620,10980158,64576
77776812,76739611,27621,10980161,64577
77777900,76748124,27660,10980162,64758
77780046,76748125,27748,10980316,65459
77781785,76749052,27795,10980340,65549
77807186,76749053,27859,10980389,65550
77809118,76749054,27993,10981170,66108
77809119,76754537,27994,10981171,66143
77809120,76756580,28003,10981172,66338
77811143,76757793,28085,10981316,66339
77811144,76757794,28107,10981317,66995
77812690,76757795,28218,10981448,68331
77812691,76757796,28381,10981449,68332
77812692,76758252,28382,10981450,68337
77812693,76762041,28406,10981521,68567
77812694,76762042,28407,10981789,68904
77814124,76764277,28408,10981918,68905
77814125,76764278,28409,10981927,68929
77821964,76768931,28410,10981928,69331
77821965,76768932,28516,10982130,69390
77833996,76769875,28517,10982131,69391
77833997,76769876,28518,10982152,69392
77833998,76769877,28519,10982153,69393
77833999,76769878,28568,10982155,69395
77834000,76769879,28601,10982171,69808
77834001,76770852,28602,10982200,69809
77834002,76777685,28603,10982352,69810
77841665,76777686,28616,10982353,70172
77841666,76777687,28689,10982354,70221
77845562,76777688,28712,10982540,70222
77857989,76777689,28767,10982737,70223
77867633,76777690,28768,10982738,70332
77867634,76777691,28769,10982739,70333
77888853,76779930,28855,10982740,70335
77890628,76779931,28856,10982741,70409
77890629,76779932,28857,10982778,70732
77890630,76779933,28858,10982779,70733
77890631,76779934,28859,10982785,70734
77890632,76779935,28860,10982786,70735
77890633,76779936,28861,10982797,70806
77890634,76779937,28862,10982798,71386
77892182,76779938,28906,10982799,71476
77893359,76779939,28907,10982800,71604
77913501,76782733,28989,10982801,71605
77915304,76786701,28993,10983017,71664
77917957,76788441,28994,10983018,71708
77917958,76788442,29092,10983019,71709
77920053,76788443,29136,10983139,71710
77920054,76788444,29137,10983140,71711
77921730,76789234,29254,10983440,71714
77924442,76789891,29255,10983441,71715
77934101,76790508,29291,10983470,71716
77954074,76790509,29329,10983596,71717
77974352,76790510,29407,10983597,71718
77974353,76795258,29408,10983598,71719
77974354,76795259,29656,10983599,71912
77977224,76795260,29727,10983600,71913
77999140,76796866,29728,10983601,71914
78017278,76796867,29729,10983692,72170
78017279,76799541,29730,10983693,72171
78020041,76799542,29731,10984565,72172
78026436,76799543,29951,10984566,72177
78029673,76801215,30039,10984705,72202
78029674,76801216,30040,10984706,72203
78038634,76801415,30041,10984707,72440
78042858,76801416,30091,10984708,72446
78042859,76801417,30168,10984709,72983
78050848,76802447,30283,10985175,73240
78050849,76802448,30369,10985180,73250
78050850,76802449,30370,10985222,73251
78064286,76802839,30371,10985223,73252
78072272,76803971,30372,10985305,73253
78086359,76803972,30373,10985306,73916
78086360,76803973,30374,10985307,73917
78099690,76803974,30375,10985850,73918
78099691,76805771,30380,10985870,74196
78099692,76814782,30383,10986255,74197
78099693,76814783,30442,10986256,74198
78099694,76814784,30497,10986257,74199
78106804,76814785,30571,10986258,74279
78108695,76814786,30596,10986259,74282
78108696,76814787,30597,10986708,74552
78108697,76819932,30598,10986709,74553
78116504,76819933,30601,10986871,74593
78116505,76819934,30680,10987054,74594
78124640,76820785,30681,10987369,74773
78129192,76833759,30710,10987370,75157
78138110,76833760,30717,10987500,75174
78139893,76833761,30722,10987595,75188
78139894,76833762,30730,10987596,75189
78140016,76833763,30731,10987597,75190
78146053,76844326,30930,10987899,75191
78148055,76844327,31037,10988231,75197
78148056,76852914,31038,10988232,75198
78148057,76852915,31112,10988240,75224
78154265,76853904,31113,10988429,75225
78158727,76853905,31114,10988462,75396
78158728,76853906,31115,10988688,75415
78159488,76853907,31116,10988689,75416
78159489,76858458,31205,10988690,75539
78161875,76858459,31227,10988701,75663
78162190,76858460,31231,10988712,75700
78164501,76858829,31232,10988713,75701
78164502,76867098,31358,10988716,75955
78172185,76873248,31437,10988942,75956
78178385,76874598,31438,10989198,75957
78178386,76874599,31727,10989251,76270
78178387,76874600,31967,10989452,76284
78178388,76879482,32010,10989453,76827
78178389,76883708,32021,10989454,76861
78181150,76883709,32022,10989517,76955
78185934,76883710,32023,10989518,76998
78185935,76884628,32091,10989519,76999
78199986,76884629,32101,10989558,77000
78199987,76886173,32102,10989564,77074
78199988,76886236,32103,10989699,77075
78207760,76886237,32104,10989740,77129
78207761,76886238,32105,10989741,77130
78207762,76886239,32106,10989773,77131
78210061,76886240,32107,10990107,77265
78210062,76886241,32108,10990108,77266
78210063,76886242,32127,10990144,77295
78210064,76886588,32234,10990145,77601
78215843,76886589,32265,10990176,77753
78221698,76886590,32266,10990177,77808
78222440,76886591,32267,10991135,77809
78222525,76887524,32381,10991176,78141
78224131,76887610,32477,10991279,78142
78224132,76893837,32478,10991732,78166
78233928,76893838,32484,10991828,78189
78235652,76893839,32579,10991829,78190
78235653,76893840,32580,10991830,78191
78235654,76895500,32698,10991907,78192
78239657,76895505,32756,10991908,78237
78244943,76895506,32803,10991909,78238
78244944,76898118,32835,10992284,78265
78244945,76901763,33046,10992285,78435
78244946,76901764,33109,10992427,78713
78244947,76905143,33110,10992744,78748
78244948,76905144,33237,10992862,78772
78244949,76905969,33245,10992863,79049
78244950,76905970,33246,10992864,79050
78244951,76908088,33247,10992865,79051
78246641,76909473,33248,10992997,79052
78265740,76909474,33250,10992998,79586
78265741,76914265,33251,10992999,80556
78267771,76914266,33252,10993000,80568
78269430,76915569,33282,10993001,80569
78269431,76917014,33283,10993090,80570
78269432,76917015,33284,10993214,80601
78276616,76917016,33285,10993269,81425
78276617,76917017,33286,10993297,81426
